Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
42116,766.156,291.477922315152,184.271862337296,1.58178203996019,0.774806584147317,42500,231.568038956299,0.80031924597142,0.990964705882353,0.901617986636206,0.794461676949664,0.0069208358418451,0.0017007094368212,0.631169356141672,0.998372351718134,SIRA
24343,572.561,208.593681962822,148.932975246662,1.40058762418028,0.700159943420573,24630,176.052464445937,0.77624362244898,0.98834754364596,0.933126316235388,0.843997108586037,0.0085689389953096,0.0026820733378206,0.71233111930159,0.997682150012293,DERMASON
75675,1106.158,452.664524355477,213.509218421519,2.12011700338769,0.881774034284598,76468,310.406833925791,0.612852283770651,0.989629649003505,0.777191360921318,0.685732628082046,0.0059816917655167,0.0008158739185742,0.470229237216309,0.996941001312318,HOROZ
83773,1134.941,447.322562567665,242.461080400325,1.84492522193292,0.840360821390934,86024,326.593166464179,0.784237181827543,0.973832883846369,0.817273395608419,0.730106625048175,0.0053396985015179,0.0009359263095322,0.533055683939236,0.983447875994198,CALI
24378,570.738,202.90099839319,153.590306272162,1.32105341357709,0.653447703120016,24726,176.178981781465,0.717654331890842,0.985925746178112,0.940447072014053,0.868300221175146,0.008323119139929,0.0029184047307011,0.753945274092807,0.996001977990616,DERMASON
35534,684.316,231.105463511398,196.03701570781,1.17888686826297,0.529583494700738,35921,212.704710767344,0.777617296918768,0.989226357840817,0.953543638899603,0.920379412652238,0.0065037840803567,0.0028788130321652,0.847098263234078,0.998633018655019,SEKER
34774,681.562,249.31567257393,177.938345437578,1.40113516263638,0.700444352660564,35096,210.417755735158,0.780456055301194,0.990825165260998,0.940705702057888,0.843981261036699,0.0071696000625159,0.0022439124560524,0.712304368981096,0.998034697878934,DERMASON
36998,721.266,260.15420584464,181.49144432519,1.43342407578456,0.716457975549042,37483,217.042200219477,0.754753161974704,0.987060800896406,0.893711181244689,0.834282880473941,0.0070315748376842,0.0021012885489208,0.696027924651897,0.997703184614388,SIRA
40274,744.945,269.231279785269,191.070904870235,1.40906476560686,0.70451349976613,40742,226.447454003493,0.793889217425587,0.98851308232291,0.911981882400286,0.841088948446483,0.006684989814403,0.0020637078629682,0.70743061919881,0.99681555962449,DERMASON
43805,788.006,294.552310960597,190.346079200375,1.54745667574548,0.763149778442087,44253,236.165743191352,0.772411482578643,0.989876392560956,0.886491345544729,0.801778612502364,0.0067241710069763,0.0017141008939763,0.642848943466216,0.994780889062723,SIRA
36156,687.239,238.867790590001,193.076136841253,1.23716889356658,0.588774860085622,36461,214.558264766111,0.7627365356623,0.991634897561778,0.961999059174175,0.898230206074054,0.0066065878578936,0.0026528188818153,0.806817503103837,0.998169517625122,SEKER
