Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
50747,842.609,300.553666847073,215.423777355193,1.39517406359242,0.697323598182355,51387,254.191044642952,0.749807919621749,0.987545488158484,0.898189657941119,0.845742616649854,0.0059225898446622,0.0018691505404893,0.715280573617742,0.997940904502982,SEKER
24469,578.395,217.572672928421,143.446059282769,1.51675601279175,0.751878387712776,24762,176.507502447133,0.706665511465373,0.988167353202488,0.919130176644824,0.81125768264658,0.0088917680709641,0.0023757633558557,0.658139027653099,0.998236327445752,DERMASON
51593,858.452,332.015343382721,198.667231269111,1.67121342187016,0.801221685758064,52123,256.301088237099,0.809937205651491,0.98983174414366,0.879768913508949,0.771955553697575,0.0064352788824592,0.0014096663057101,0.59591537688453,0.995901776148239,SIRA
78951,1107.357,432.465771511437,236.105693521707,1.83166176580014,0.837816243945983,80711,317.054467396985,0.742034624710991,0.978193802579574,0.809081346493862,0.733131933861269,0.0054776478006793,0.0009761182112217,0.537482432447164,0.984486021302724,CALI
94354,1178.195,466.135209472753,259.703863782469,1.79487206190815,0.830416720146043,95515,346.605314448497,0.735359675785208,0.987844841124431,0.85415331253601,0.743572481556464,0.0049402803216901,0.0009315895119362,0.552900035328038,0.992384826438325,CALI
30006,652.956,238.613861945861,160.431712471498,1.48732353641275,0.740234602923824,30456,195.460547884537,0.729913157702693,0.985224586288416,0.884402853288319,0.819150012034443,0.0079522049572039,0.0022086204827586,0.671006742216027,0.998004120789539,DERMASON
35808,739.41,295.853798490498,154.922668483968,1.9096869514684,0.851935930779793,36355,213.523210958145,0.80425847314871,0.984953926557557,0.823036866785824,0.721718673370364,0.0082622262759857,0.0013827657570053,0.520877843491479,0.994713621024674,DERMASON
43205,768.043,282.080179254215,195.651782612006,1.44174602187808,0.720357042296881,43689,234.542777612705,0.811087331981678,0.988921696536886,0.920391931568209,0.831475569225767,0.0065288781218427,0.0019249360085791,0.691351622219312,0.996753451053654,SIRA
28696,622.245,227.220192980827,161.413986827499,1.40768589789963,0.703812537940732,29034,191.146231916091,0.711529878502356,0.988358476269202,0.931340301870186,0.841237873309176,0.0079181834743806,0.002446135951399,0.707681159489745,0.996192788422971,DERMASON
68551,991.189,381.21391959524,230.854313049209,1.65131816061838,0.795786853030886,69514,295.435008134006,0.733510957027906,0.986146675489829,0.876820532569279,0.774984839083758,0.0055610263832072,0.0012373926853734,0.600601500809678,0.991784165581678,CALI
